,GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
0,2023-10-27 00:00:00,22300083,,1610612759,1610612745,2023,,126.0,48.9,75.0,31.0,32.0,43.0,,122.0,52.0,50.0,25.0,30.0,43.0,1
1,2023-10-27 00:00:00,22300077,,1610612766,1610612765,2023,,99.0,37.5,76.5,25.0,20.0,41.0,,111.0,45.5,84.0,33.3,28.0,53.0,0
2,2023-10-27 00:00:00,22300087,,1610612758,1610612744,2023,,114.0,43.6,69.0,30.0,24.0,41.0,,122.0,55.2,85.7,43.8,32.0,39.0,0
3,2023-10-27 00:00:00,22300086,,1610612757,1610612753,2023,,97.0,39.8,85.7,28.1,15.0,47.0,,102.0,45.6,65.6,32.1,22.0,45.0,0
4,2023-10-27 00:00:00,22300078,,1610612763,1610612743,2023,,104.0,43.5,83.3,30.3,22.0,48.0,,108.0,46.6,66.7,37.8,27.0,40.0,0
5,2023-10-27 00:00:00,22300085,,1610612762,1610612746,2023,,120.0,43.8,90.9,39.0,27.0,45.0,,118.0,53.2,78.6,40.0,17.0,36.0,1
6,2023-10-27 00:00:00,22300082,,1610612741,1610612761,2023,,104.0,37.4,78.6,20.5,18.0,52.0,,103.0,46.4,64.0,25.0,25.0,53.0,1
7,2023-10-27 00:00:00,22300084,,1610612742,1610612751,2023,,125.0,48.4,78.6,41.7,20.0,40.0,,120.0,48.9,90.0,48.8,30.0,47.0,1
8,2023-10-27 00:00:00,22300081,,1610612739,1610612760,2023,,105.0,41.3,73.9,26.7,20.0,48.0,,108.0,46.0,78.9,50.0,22.0,47.0,0
9,2023-10-27 00:00:00,22300080,,1610612738,1610612748,2023,,119.0,47.4,68.4,41.0,20.0,55.0,,111.0,42.7,82.6,48.5,24.0,45.0,1
10,2023-10-27 00:00:00,22300079,,1610612737,1610612752,2023,,120.0,48.3,80.0,37.5,28.0,44.0,,126.0,47.8,71.4,45.5,30.0,45.0,0
11,2023-10-26 00:00:00,22300076,,1610612747,1610612756,2023,,100.0,42.9,79.3,17.2,24.0,42.0,,95.0,42.0,78.3,29.0,16.0,49.0,1
12,2023-10-26 00:00:00,22300075,,1610612749,1610612755,2023,,118.0,50.6,69.4,36.7,20.0,43.0,,117.0,51.3,67.9,45.7,25.0,39.0,1
13,2023-10-25 00:00:00,22300074,,1610612746,1610612757,2023,,123.0,52.2,81.3,47.1,36.0,45.0,,111.0,47.3,76.5,31.3,20.0,40.0,1
14,2023-10-25 00:00:00,22300066,,1610612753,1610612745,2023,,116.0,48.3,88.5,26.5,19.0,57.0,,86.0,40.5,62.5,35.3,19.0,31.0,1
15,2023-10-25 00:00:00,22300073,,1610612759,1610612742,2023,,119.0,51.7,72.7,31.4,33.0,45.0,,126.0,47.5,73.9,31.9,24.0,48.0,0
16,2023-10-25 00:00:00,22300071,,1610612763,1610612740,2023,,104.0,41.8,80.0,27.9,23.0,37.0,,111.0,47.1,77.3,43.8,22.0,52.0,0
17,2023-10-25 00:00:00,22300070,,1610612741,1610612760,2023,,104.0,41.5,77.8,28.6,26.0,42.0,,124.0,54.9,83.3,48.7,30.0,43.0,0
18,2023-10-25 00:00:00,22300069,,1610612761,1610612750,2023,,97.0,40.0,68.8,40.0,27.0,47.0,,94.0,34.0,81.8,25.8,20.0,62.0,1
19,2023-10-25 00:00:00,22300067,,1610612751,1610612739,2023,,113.0,50.0,76.9,33.3,30.0,50.0,,114.0,46.8,90.0,39.5,25.0,38.0,0
20,2023-10-25 00:00:00,22300068,,1610612748,1610612765,2023,,103.0,40.2,80.8,36.4,22.0,48.0,,102.0,44.6,60.0,34.4,28.0,56.0,1
21,2023-10-25 00:00:00,22300065,,1610612752,1610612738,2023,,104.0,37.1,53.8,43.9,24.0,47.0,,108.0,48.1,84.6,30.8,18.0,46.0,0
22,2023-10-25 00:00:00,22300072,,1610612762,1610612758,2023,,114.0,45.1,74.2,32.1,22.0,54.0,,130.0,46.1,85.0,37.3,29.0,45.0,0
23,2023-10-25 00:00:00,22300063,,1610612766,1610612737,2023,,116.0,50.0,73.1,29.7,34.0,51.0,,110.0,41.9,81.8,17.2,24.0,42.0,1
